"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 10 14:46:37 UTC 2026","Tue Feb 10 14:46:37 UTC 2026","452","","Comprehensive Test Suite","","","","TC009 - Error handling check (Expected Failure)",""
"failed","Tue Feb 10 14:46:33 UTC 2026","Tue Feb 10 14:46:34 UTC 2026","482","","Comprehensive Test Suite","","","","TC004 - Boolean logic verification",""
"failed","Tue Feb 10 14:46:35 UTC 2026","Tue Feb 10 14:46:36 UTC 2026","579","","Comprehensive Test Suite","","","","TC007 - Complex calculation validation",""
"failed","Tue Feb 10 14:46:33 UTC 2026","Tue Feb 10 14:46:33 UTC 2026","524","","Comprehensive Test Suite","","","","TC003 - Array operations work correctly",""
"failed","Tue Feb 10 14:46:35 UTC 2026","Tue Feb 10 14:46:35 UTC 2026","563","","Comprehensive Test Suite","","","","TC006 - Data validation with multiple fields",""
"failed","Tue Feb 10 14:46:31 UTC 2026","Tue Feb 10 14:46:32 UTC 2026","502","","Comprehensive Test Suite","","","","TC001 - User can perform basic math operations",""
"failed","Tue Feb 10 14:46:32 UTC 2026","Tue Feb 10 14:46:32 UTC 2026","583","","Comprehensive Test Suite","","","","TC002 - User can verify string operations",""
"failed","Tue Feb 10 14:46:34 UTC 2026","Tue Feb 10 14:46:34 UTC 2026","489","","Comprehensive Test Suite","","","","TC005 - Login validation checks",""
"failed","Tue Feb 10 14:46:37 UTC 2026","Tue Feb 10 14:46:38 UTC 2026","531","","Comprehensive Test Suite","","","","TC010 - Performance assertion",""
"failed","Tue Feb 10 14:47:26 UTC 2026","Tue Feb 10 14:47:26 UTC 2026","626","","Transfers from Flexi Account","","","","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)",""
"failed","Tue Feb 10 14:46:36 UTC 2026","Tue Feb 10 14:46:37 UTC 2026","612","","Comprehensive Test Suite","","","","TC008 - List filtering operations",""
